
==========train clamp qwt============ lyr_qt_qwt=[20], ect_lyr=[0, 1, 2]
0 r2_score:        0.51525, quant_loss:      0.00002
1 r2_score:        0.40653, quant_loss:      0.00010
2 r2_score:        0.44064, quant_loss:      0.00032
3 r2_score:        0.62321, quant_loss:      0.00028, qwt_mse:      0.00010
4 r2_score:        0.10423, quant_loss:      0.00016, qwt_mse:      0.00014
5 r2_score:        0.12459, quant_loss:      0.00024, qwt_mse:      0.00019
6 r2_score:        0.15752, quant_loss:      0.00032, qwt_mse:      0.00025
7 r2_score:        0.14158, quant_loss:      0.00061, qwt_mse:      0.00049
8 r2_score:        0.24325, quant_loss:      0.00081, qwt_mse:      0.00058
9 r2_score:        0.10999, quant_loss:      0.00089, qwt_mse:      0.00075
10 r2_score:        0.06460, quant_loss:      0.00108, qwt_mse:      0.00097
11 r2_score:        0.11392, quant_loss:      0.00143, qwt_mse:      0.00121
12 r2_score:        0.10567, quant_loss:      0.00175, qwt_mse:      0.00149
13 r2_score:        0.10521, quant_loss:      0.00224, qwt_mse:      0.00191
14 r2_score:        0.10698, quant_loss:      0.00279, qwt_mse:      0.00237
15 r2_score:        0.11025, quant_loss:      0.00400, qwt_mse:      0.00337
16 r2_score:        0.11916, quant_loss:      0.00601, qwt_mse:      0.00488
17 r2_score:        0.09098, quant_loss:      0.00842, qwt_mse:      0.00723
18 r2_score:        0.09578, quant_loss:      0.01428, qwt_mse:      0.01208
19 r2_score:        0.08748, quant_loss:      0.02246, qwt_mse:      0.01941
20 r2_score:        0.07587, quant_loss:      0.03125, qwt_mse:      0.02856
21 r2_score:        0.11920, quant_loss:      0.06348, qwt_mse:      0.05322
