
==========train clamp qwt=====wikitext======= lyr_qt_qwt=[7, 19, 33, 37], ect_lyr=[10000]
0 r2_score:        0.51390, quant_loss:      0.00042
1 r2_score:        0.41504, quant_loss:      0.00093
2 r2_score:        0.68490, quant_loss:      0.00528
3 r2_score:        0.55784, quant_loss:      0.00591
4 r2_score:        0.48884, quant_loss:      0.00761
5 r2_score:        0.43977, quant_loss:      0.01014, qwt_mse:      0.00462
6 r2_score:        0.49333, quant_loss:      0.02036, qwt_mse:      0.00903
7 r2_score:        0.20469, quant_loss:      0.01174, qwt_mse:      0.00919
8 r2_score:        0.16114, quant_loss:      0.01750, qwt_mse:      0.01287
9 r2_score:        0.14126, quant_loss:      0.02200, qwt_mse:      0.01670
10 r2_score:        0.13629, quant_loss:      0.02752, qwt_mse:      0.02122
11 r2_score:        0.12234, quant_loss:      0.03490, qwt_mse:      0.02750
12 r2_score:        0.08410, quant_loss:      0.04172, qwt_mse:      0.03425
13 r2_score:        0.13314, quant_loss:      0.05088, qwt_mse:      0.03991
14 r2_score:        0.09369, quant_loss:      0.05638, qwt_mse:      0.04674
15 r2_score:        0.08168, quant_loss:      0.06862, qwt_mse:      0.05709
16 r2_score:        0.07171, quant_loss:      0.07730, qwt_mse:      0.06634
17 r2_score:        0.07108, quant_loss:      0.09196, qwt_mse:      0.07836
18 r2_score:        0.06652, quant_loss:      0.10810, qwt_mse:      0.09305
19 r2_score:        0.05237, quant_loss:      0.10853, qwt_mse:      0.10239
20 r2_score:        0.05089, quant_loss:      0.13880, qwt_mse:      0.12265
21 r2_score:        0.05402, quant_loss:      0.16768, qwt_mse:      0.14827
22 r2_score:        0.05203, quant_loss:      0.19921, qwt_mse:      0.17844
23 r2_score:        0.04688, quant_loss:      0.24050, qwt_mse:      0.21612
24 r2_score:        0.04188, quant_loss:      0.27646, qwt_mse:      0.25353
25 r2_score:        0.03843, quant_loss:      0.31632, qwt_mse:      0.29278
26 r2_score:        0.03174, quant_loss:      0.35472, qwt_mse:      0.33321
27 r2_score:        0.03093, quant_loss:      0.40407, qwt_mse:      0.38006
28 r2_score:        0.02800, quant_loss:      0.45222, qwt_mse:      0.42870
29 r2_score:        0.02475, quant_loss:      0.50093, qwt_mse:      0.47769
30 r2_score:        0.02311, quant_loss:      0.55533, qwt_mse:      0.53154
31 r2_score:        0.02155, quant_loss:      0.61257, qwt_mse:      0.58856
32 r2_score:        0.01939, quant_loss:      0.67085, qwt_mse:      0.64723
33 r2_score:        0.01705, quant_loss:      0.71051, qwt_mse:      0.69727
34 r2_score:        0.01703, quant_loss:      0.80151, qwt_mse:      0.77531
35 r2_score:        0.01969, quant_loss:      0.88834, qwt_mse:      0.85552
36 r2_score:        0.01986, quant_loss:      0.98027, qwt_mse:      0.94485
37 r2_score:        0.02103, quant_loss:      1.05631, qwt_mse:      1.03044
38 r2_score:        0.03912, quant_loss:      1.38197, qwt_mse:      1.25545
39 r2_score:        0.11060, quant_loss:      2.69039, qwt_mse:      2.16128
